AttendanceLateID,AttendanceDateTime,EnteredBy,ClassSectionID,AcademicID,Remarks,SessionID
1,2023-01-01 08:30:00,1,1,101,Late arrival due to traffic,1
2,2023-01-02 08:32:00,2,1,102,Overslept,1
3,2023-01-03 08:28:00,3,1,103,Bus delay,1
4,2023-01-04 08:35:00,4,2,104,Car broke down,1
5,2023-01-05 08:29:00,5,2,105,Train delay,1
6,2023-01-06 08:31:00,6,3,106,Bad weather,1
7,2023-01-07 08:33:00,7,3,107,Family emergency,1
8,2023-01-08 08:34:00,8,4,101,Medical appointment,1
9,2023-01-09 08:37:00,9,4,102,Traffic accident,1
10,2023-01-10 08:27:00,10,5,103,Construction on road,1
11,2023-01-11 08:32:00,11,5,104,Late night work,1
12,2023-01-12 08:31:00,12,6,105,Forgot something at home,1
13,2023-01-13 08:29:00,13,6,106,Subway delay,1
14,2023-01-14 08:35:00,14,7,107,Stuck in elevator,1
15,2023-01-15 08:36:00,15,7,101,Missed the bus,1
16,2023-01-16 08:33:00,16,8,102,Traffic jam,1
17,2023-01-17 08:28:00,17,8,103,Car trouble,1
18,2023-01-18 08:32:00,18,9,104,Woke up late,1
19,2023-01-19 08:31:00,19,9,105,Emergency meeting,1
20,2023-01-20 08:30:00,20,10,106,Delayed flight,1
21,2023-01-21 08:29:00,21,10,107,Heavy rain,1
22,2023-01-22 08:36:00,22,11,101,Public transport strike,1
23,2023-01-23 08:27:00,23,11,102,Alarm didn't go off,1
24,2023-01-24 08:34:00,24,12,103,Lost keys,1
25,2023-01-25 08:35:00,25,12,104,Sick child,1
26,2023-01-26 08:31:00,26,13,105,Heavy traffic,1
27,2023-01-27 08:32:00,27,13,106,Late night studying,1
28,2023-01-28 08:33:00,28,14,107,Power outage,1
29,2023-01-29 08:29:00,29,14,101,Dog ran away,1
30,2023-01-30 08:37:00,30,15,102,Forgot laptop,1
31,2023-02-01 08:27:00,31,15,103,Missed the bus,1
32,2023-02-02 08:35:00,32,16,104,Heavy rain,1
33,2023-02-03 08:29:00,33,16,105,Medical emergency,1
34,2023-02-04 08:30:00,34,17,106,Car accident,1
35,2023-02-05 08:31:00,35,17,107,Train delay,1
36,2023-02-06 08:32:00,36,18,101,Overslept,1
37,2023-02-07 08:33:00,37,18,102,Traffic jam,1
38,2023-02-08 08:34:00,38,19,103,Bad weather,1
39,2023-02-09 08:35:00,39,19,104,Late night work,1
40,2023-02-10 08:36:00,40,20,105,Family emergency,1
41,2023-02-11 08:37:00,41,20,106,Flat tire,1
42,2023-02-12 08:28:00,42,21,107,Construction on road,1
43,2023-02-13 08:29:00,43,21,101,Sick pet,1
44,2023-02-14 08:30:00,44,22,102,Power outage,1
45,2023-02-15 08:31:00,45,22,103,Late night studying,1
46,2023-02-16 08:32:00,46,23,104,Public transport strike,1
47,2023-02-17 08:33:00,47,23,105,Alarm didn't go off,1
48,2023-02-18 08:34:00,48,24,106,Lost keys,1
49,2023-02-19 08:35:00,49,24,107,Sick child,1
50,2023-02-20 08:36:00,50,25,101,Heavy traffic,1
51,2023-02-21 08:37:00,51,25,102,Late night work,1
52,2023-02-22 08:28:00,52,26,103,Car trouble,1
53,2023-02-23 08:29:00,53,26,104,Missed the bus,1
54,2023-02-24 08:30:00,54,27,105,Bad weather,1
55,2023-02-25 08:31:00,55,27,106,Overslept,1
56,2023-02-26 08:32:00,56,28,107,Train delay,1
57,2023-02-27 08:33:00,57,28,101,Family emergency,1
58,2023-02-28 08:34:00,58,29,102,Car accident,1
59,2023-03-01 08:35:00,59,29,103,Traffic jam,1
60,2023-03-02 08:36:00,60,30,104,Medical emergency,1
